gene_symbol,half_life_hours
C16orf95,7.762
C17orf49,15.128
C17orf50,7.662
C17orf58,2.728
C17orf67,2.194
C17orf75,11.929
C17orf80,1.493
C17orf97,1.75
C17orf99,14.607
C18orf21,1.489
C18orf25,1.526
C18orf32,6.334
C18orf54,4.081
C19orf12,3.267
C19orf25,5.752
C19orf44,2.229
C19orf47,2.995
C19orf53,17.59
C19orf54,5.468
C19orf71,9.921
C19orf73,1.807
C1D,7.766
C1GALT1,2.633
C1GALT1C1,8.108
C1QBP,23.232
C1QL1,32.053
C1QL4,10.804
C1QTNF1,5.543
C1QTNF4,6.078
C1QTNF5,9.205
C1QTNF6,9.906
C1R,32.545
C1RL,7.986
C1S,47.53
C1orf109,3.196
C1orf112,6.04
C1orf115,5.241
C1orf116,1.116
C1orf122,36.502
C1orf131,1.902
C1orf159,6.448
C1orf162,1.751
C1orf174,2.668
C1orf198,5.321
C1orf21,3.964
C1orf210,3.713
C1orf216,3.074
C1orf226,1.54
C1orf35,4.591
C1orf43,11.093
C1orf50,3.853
C1orf54,8.925
C1orf56,2.72
C1orf74,0.416
C20orf144,3.445
C20orf27,37.593
C20orf96,27.862
C21orf58,3.961
C21orf91,0.97
C22orf23,5.344
C22orf39,7.612
C2CD2,2.68
C2CD2L,3.14
C2CD3,5.828
C2CD5,5.226
C2orf15,1.994
C2orf42,0.882
C2orf49,1.457
C2orf68,7.381
C2orf69,0.667
C2orf72,3.662
C2orf76,7.335
C2orf88,5.831
C3,109.506
C3orf14,11.077
C3orf18,13.11
C3orf20,1.867
C3orf33,1.498
C3orf38,0.74
C3orf52,4.005
C3orf62,3.175
C3orf70,1.811
C4B,9.751
C4orf19,3.596
C4orf33,15.013
C4orf36,6.983
C4orf46,1.777
C5,3.767
C5AR1,9.05
C5orf15,10.311
C5orf22,5.1
C5orf24,3.231
C5orf34,1.708
C5orf63,4.22
C6orf120,2.891
C6orf136,3.086
