gene_symbol,half_life_hours
Akap10,0.832
Akap11,3.121
Akap12,5.12
Akap13,1.352
Akap14,4.945
Akap17b,1.411
Akap3,4.527
Akap6,3.508
Akap7,8.021
Akap8,2.087
Akap8l,7.814
Akap9,4.199
Akirin1,3.063
Akirin2,0.915
Akna,2.521
Akr1a1,36.322
Akr1b10,5.626
Akr1b3,34.419
Akr1b7,6.848
Akr1b8,14.028
Akr1c12,7.085
Akr1c13,13.428
Akr1c14,16.04
Akr1c18,4.817
Akr1c21,3.083
Akr1e1,18.792
Akr7a5,15.558
Akt1,16.352
Akt1s1,7.364
Akt2,8.138
Akt3,4.521
Aktip,13.435
Alad,9.528
Alas1,2.109
Alcam,20.362
Aldh16a1,17.772
Aldh18a1,11.461
Aldh1a1,55.921
Aldh1a2,49.306
Aldh1a3,7.71
Aldh1a7,4.762
Aldh1b1,2.112
Aldh1l1,16.841
Aldh1l2,30.163
Aldh2,40.821
Aldh3a1,10.214
Aldh3a2,8.117
Aldh3b1,14.609
Aldh3b2,11.667
Aldh4a1,13.279
Aldh5a1,20.928
Aldh6a1,21.663
Aldh7a1,46.298
Aldh8a1,4.208
Aldh9a1,25.588
Aldoa,28.236
Aldoc,8.28
Alg1,7.603
Alg10b,10.318
Alg12,15.386
Alg13,5.011
Alg14,12.77
Alg2,3.337
Alg3,6.453
Alg5,6.27
Alg6,8.687
Alg8,14.229
Alg9,12.96
Alkbh1,1.3
Alkbh2,2.636
Alkbh3,4.743
Alkbh4,0.696
Alkbh5,2.212
Alkbh6,14.565
Alkbh7,7.166
Alkbh8,2.503
Alms1,2.563
Alox12,4.557
Alox12e,8.486
Alox15,17.521
Alox5,8.085
Alox5ap,7.7
Aloxe3,8.29
Alpk1,3.953
Alpk2,14.743
Alpk3,4.954
Als2,3.512
Als2cl,9.494
Alx3,6.164
Alyref,6.944
Alyref2,2.328
Amacr,5.698
Ambp,7.28
Ambra1,1.597
Amd1,1.685
Amd2,2.105
Amdhd1,14.257
Amdhd2,18.565
Amelx,13.032
Amer1,1.665
Amfr,8.951
Amhr2,3.819
Amigo1,4.71
Amigo2,2.449
Amigo3,1.946
Ammecr1,4.976
Ammecr1l,0.962
Amn,1.338
Amn1,1.697
Amotl2,0.314
Ampd1,7.918
Ampd2,3.876
Ampd3,3.049
Amph,4.513
Amt,14.654
Amz2,9.015
Anapc1,8.132
Anapc10,4.819
Anapc11,26.487
Anapc13,26.353
Anapc15,9.586
Anapc16,7.547
Anapc2,10.567
Anapc4,4.427
Anapc5,33.217
Anapc7,2.906
Ang,8.144
Angel1,6.38
Angel2,3.894
Angpt1,7.278
Angpt2,3.397
Angptl2,7.609
Angptl4,0.498
Angptl6,12.609
Angptl7,12.034
Ank,3.511
Ank1,5.611
Ank2,6.157
Ankfy1,3.954
Ankhd1,2.16
Ankib1,3.135
Ankle1,4.98
Ankle2,2.752
Ankmy2,3.466
Ankra2,4.096
Ankrd1,0.843
Ankrd10,2.45
Ankrd11,1.743
Ankrd12,1.849
Ankrd13a,15.48
Ankrd13b,5.492
Ankrd13c,6.589
Ankrd13d,8.542
Ankrd16,3.211
Ankrd17,1.544
Ankrd23,6.726
Ankrd24,8.616
Ankrd26,3.181
Ankrd27,7.141
Ankrd28,2.468
Ankrd29,10.648
Ankrd33,4.341
Ankrd33b,1.352
Ankrd34a,1.907
Ankrd35,4.661
Ankrd37,0.947
Ankrd39,5.327
Ankrd40,7.712
Ankrd42,11.798
Ankrd44,3.601
Ankrd45,11.129
Ankrd46,7.607
Ankrd49,0.631
Ankrd50,0.868
Ankrd52,3.691
Ankrd53,6.869
Ankrd54,1.723
Ankrd55,5.264
Ankrd6,6.569
Ankrd61,1.446
Ankrd9,0.802
Anks1,3.408
Anks1b,3.041
Anks3,6.247
Anks6,2.416
Ankzf1,3.022
Anln,5.082
Ano10,12.463
Ano6,4.726
Ano8,7.298
Anp32a,16.402
Anp32b,7.297
Anp32e,15.91
Anpep,7.225
Antkmt,6.144
Antxr1,7.607
Antxr2,4.597
Anxa1,14.728
Anxa11,25.33
Anxa2,26.595
Anxa3,8.651
Anxa4,31.831
Anxa5,31.509
Anxa6,28.786
Anxa7,11.691
Anxa8,12.009
Anxa9,9.167
Aoah,7.339
Aoc2,7.399
Aoc3,3.472
Aox1,6.256
Aox3,12.444
Aox4,7.166
Ap1ar,7.379
Ap1b1,18.396
Ap1g1,2.233
Ap1g2,12.456
Ap1m1,10.136
Ap1m2,21.271
Ap1s2,9.897
Ap1s3,3.907
Ap2a1,16.688
Ap2a2,20.466
Ap2b1,20.57
Ap2m1,26.487
Ap2s1,26.703
Ap3b1,9.968
Ap3b2,30.224
Ap3d1,9.576
Ap3m1,9.892
Ap3m2,14.954
Ap3s1,26.46
Ap3s2,9.125
Ap4b1,2.001
Ap4e1,5.732
Ap4m1,2.907
Ap4s1,18.603
Ap5b1,1.141
Ap5m1,2.615
Ap5s1,1.177
Ap5z1,7.916
Apaf1,1.887
Apba1,3.452
Apba2,3.286
Apba3,12.673
Apbb1,7.144
Apbb1ip,4.977
Apbb2,1.267
Apc,3.284
Apc2,3.818
Apcdd1,2.822
Apeh,8.731
Apex1,3.806
Apex2,1.431
Aph1a,9.35
Aph1b,4.583
Aph1c,4.135
Api5,4.669
Apip,11.134
Aplf,2.758
Apln,1.822
Aplp1,17.362
Aplp2,46.392
Apmap,13.401
Apoa2,23.212
Apoa4,27.334
Apob,6.997
Apobec1,2.35
Apobec2,2.744
Apobec3,5.327
Apobr,8.398
Apoc1,21.12
Apoc2,10.861
Apoc4,5.581
Apod,9.134
Apoe,8.599
Apol6,6.088
Apol7a,4.082
Apol8,5.246
Apol9a,8.136
Apol9b,3.853
Apom,4.387
Apon,4.167
Apool,24.77
App,31.509
Appbp2,1.902
Appl1,4.902
Appl2,18.359
Aprt,14.669
Aptx,5.632
Aqp1,19.532
Aqp11,3.294
Aqp2,13.823
Aqp3,6.266
Aqp5,3.363
Aqp7,4.726
Aqp8,11.22
Aqp9,8.109
Aqr,5.318
Araf,13.138
Arap1,10.434
Arap2,1.727
Arc,0.76
Arcn1,6.675
Areg,1.044
Arel1,2.592
Arf1,12.438
Arf2,2.29
Arf3,8.49
Arf4,13.872
Arf5,20.156
Arf6,1.296
Arfgap1,1.618
Arfgap2,2.575
Arfgap3,4.069
Arfgef1,2.787
Arfgef2,4.958
Arfip2,5.482
Arfrp1,4.801
Arg1,13.252
Arg2,6.026
Arglu1,2.521
Arhgap1,9.993
Arhgap10,4.227
Arhgap11a,2.089
Arhgap12,1.607
Arhgap17,2.676
Arhgap18,5.664
Arhgap19,4.954
Arhgap20,1.397
Arhgap21,1.725
Arhgap22,1.313
Arhgap23,1.05
Arhgap24,2.268
Arhgap25,1.217
Arhgap26,4.522
Arhgap28,1.338
Arhgap29,2.155
Arhgap30,3.93
Arhgap31,3.753
Arhgap33,10.626
Arhgap35,3.842
Arhgap39,2.183
Arhgap4,13.964
Arhgap42,4.287
Arhgap44,6.597
Arhgap45,9.518
Arhgap5,2.737
Arhgap6,1.459
Arhgap8,7.371
Arhgap9,7.499
Arhgdia,29.617
Arhgdib,21.401
Arhgdig,15.685
Arhgef1,15.926
Arhgef10,7.031
Arhgef10l,1.968
Arhgef11,4.039
Arhgef12,5.114
Arhgef15,3.278
Arhgef16,7.773
Arhgef17,2.379
Arhgef18,1.863
Arhgef19,3.908
Arhgef2,2.813
Arhgef25,17.935
Arhgef28,4.0
Arhgef3,1.679
Arhgef39,2.041
Arhgef4,4.575
Arhgef40,4.739
Arhgef5,2.797
Arhgef6,1.866
Arhgef7,2.291
Arhgef9,15.958
Arid1b,2.148
Arid2,1.397
Arid3a,1.036
Arid3b,1.789
Arid3c,13.823
Arid4a,1.283
Arid4b,0.976
Arid5a,0.835
Arid5b,0.457
Arih1,2.906
Arih2,3.667
Arl1,11.277
Arl10,2.102
Arl13b,2.324
Arl14ep,1.215
Arl15,2.166
Arl16,6.038
Arl2,17.082
Arl2bp,5.455
Arl3,30.01
Arl4a,1.16
Arl4c,0.586
Arl4d,1.408
Arl5a,5.099
Arl5b,1.604
Arl5c,8.207
Arl6ip1,8.599
Arl6ip4,5.651
Arl6ip5,9.19
Arl6ip6,1.504
Arl8a,2.7
Arl8b,6.219
Armc1,3.83
Armc10,3.629
Armc2,3.528
Armc3,4.193
Armc5,1.293
Armc6,3.213
Armc7,1.34
Armc8,2.685
Armc9,8.04
Armcx1,6.368
Armcx2,6.798
Armcx3,6.803
Armcx4,2.809
Armcx5,2.499
Armcx6,3.566
Armh3,6.069
Armt1,1.672
Arnt,4.455
Arnt2,6.162
Arntl,1.541
Arntl2,3.022
Arpc1a,10.141
Arpc1b,20.57
Arpc2,10.407
Arpc3,30.471
Arpc4,17.221
Arpc5,7.566
Arpc5l,4.877
Arpin,14.58
Arpp19,12.861
Arrb1,6.673
Arrb2,4.08
Arrdc1,10.578
Arrdc2,3.969
Arrdc3,0.386
Arrdc4,5.703
Arrdc5,4.314
Arsa,24.198
Arsb,57.651
Arsg,17.79
Arsi,18.471
Arsj,1.501
Arsk,18.284
Art1,1.64
Art3,5.044
Art4,6.911
Art5,2.325
Artn,0.784
Arv1,1.328
Arxes1,4.513
Arxes2,4.979
As3mt,9.093
Asah1,34.594
Asah2,44.365
Asap1,2.051
Asap2,2.105
Asap3,5.951
Asb1,1.589
Asb10,2.946
Asb13,8.371
Asb14,3.619
Asb15,21.818
Asb16,3.982
Asb3,3.261
Asb4,9.065
Asb6,0.855
Asb7,1.336
Asb8,0.846
Ascc1,31.222
Ascc2,10.583
Ascc3,4.362
Ascl2,0.378
Ascl3,21.973
Asf1a,1.952
Asf1b,3.349
Asgr1,11.242
Asgr2,64.857
Ash1l,1.679
Ash2l,10.224
Asic1,32.583
Asl,28.38
Asns,11.05
Asnsd1,7.518
Aspa,15.701
Asph,23.188
Asphd2,2.975
Aspm,2.465
Aspn,10.855
Aspscr1,11.168
Asrgl1,7.761
Ass1,18.85
Aste1,1.264
Astn1,17.664
Astn2,5.937
Asxl1,0.724
Asxl2,1.491
Asxl3,0.832
Asz1,3.476
Atad1,3.694
Atad2,2.756
Atad2b,1.832
Atad3a,3.831
Atad5,0.962
Atat1,13.212
Atcay,5.789
Ate1,2.335
Atf1,2.733
Atf2,2.742
Atf3,0.943
Atf4,0.725
Atf5,17.88
Atf6,3.323
Atf7,3.085
Atf7ip,1.075
Atf7ip2,1.002
Atg10,15.37
Atg101,1.41
Atg12,3.689
Atg13,4.379
Atg14,1.238
Atg16l1,1.131
Atg16l2,3.481
Atg2a,5.551
Atg2b,4.136
Atg3,7.085
Atg4a,29.11
Atg4b,5.212
Atg4c,3.935
Atg4d,2.909
Atg5,4.214
Atg7,17.117
Atg9a,10.178
Atg9b,14.171
Atic,11.649
Atl1,3.87
Atl2,1.391
Atl3,5.517
Atm,7.753
Atmin,1.383
Atn1,6.102
Atoh1,2.438
Atoh8,0.912
Atox1,28.323
Atp10a,4.05
Atp11a,12.058
Atp11b,8.282
Atp11c,6.06
Atp12a,3.269
Atp13a1,4.908
Atp13a2,14.609
Atp13a3,6.547
Atp13a4,7.81
Atp1a1,20.717
Atp1a2,6.521
Atp1a3,10.376
Atp1a4,17.557
Atp1b1,10.508
Atp1b2,1.882
Atp1b3,6.602
Atp2a1,5.64
Atp2a2,5.404
Atp2a3,14.97
Atp2b1,3.543
Atp2b2,3.96
Atp2b3,7.249
Atp2b4,5.165
Atp2c1,12.725
Atp2c2,16.755
Atp4a,10.573
Atp5a1,28.554
Atp5b,28.757
Atp5c1,24.247
Atp5d,31.064
Atp5e,40.0
Atp5g1,27.473
Atp5g2,29.051
Atp5g3,24.149
Atp5h,31.159
Atp5j,31.001
Atp5j2,24.198
Atp5k,35.268
Atp5l,20.259
Atp5md,25.201
Atp5mpl,18.377
Atp5o,30.97
Atp5pb,15.076
Atp6ap1,27.223
Atp6ap2,31.286
Atp6v0a1,9.508
Atp6v0a2,5.843
Atp6v0a4,16.056
Atp6v0b,17.186
Atp6v0c,8.56
Atp6v0d1,35.376
Atp6v0e,25.536
Atp6v0e2,12.603
Atp6v1a,14.713
Atp6v1b2,4.985
Atp6v1c1,9.684
Atp6v1c2,7.339
Atp6v1d,7.977
Atp6v1e1,13.76
Atp6v1e2,9.927
Atp6v1f,17.239
Atp6v1g1,7.568
Atp6v1g2,6.786
Atp6v1h,5.737
Atp7a,3.941
Atp7b,0.747
Atp8a1,1.027
Atp8a2,5.467
Atp8b2,4.78
Atp8b3,2.631
Atp8b4,5.754
Atp9a,15.765
Atp9b,3.382
Atpaf1,5.315
Atpaf2,10.927
Atpif1,15.261
Atpsckmt,3.641
Atr,4.728
Atraid,13.851
Atrip,1.232
Atrn,5.53
Atrnl1,10.503
Atrx,6.184
Atxn1,1.462
Atxn10,19.004
Atxn1l,1.532
Atxn2,3.035
Atxn2l,5.354
Atxn3,4.154
Atxn7,1.757
Atxn7l1,1.453
Atxn7l2,2.22
Atxn7l3,2.576
Atxn7l3b,1.812
Auh,7.23
Aunip,0.7
Aup1,7.103
Aurka,1.341
Aurkaip1,11.185
Aurkb,3.175
Aurkc,7.315
Auts2,0.772
Aven,10.822
Avil,13.746
Avl9,1.209
Avp,11.033
Avpi1,2.52
Awat2,5.748
Axin1,1.453
Axin2,0.366
Axl,15.122
Azi2,4.857
Azin1,2.874
Azin2,13.039
B230219D22Rik,2.181
B2m,33.761
B3galnt1,3.501
B3galnt2,4.965
B3galt1,0.978
B3galt4,2.556
B3galt6,1.258
B3gat1,5.22
B3gat3,4.44
B3glct,19.691
B3gnt2,0.908
B3gnt3,7.02
B3gnt5,1.016
B3gnt7,1.804
B3gnt8,6.537
B3gnt9,1.691
B3gntl1,6.624
B430306N03Rik,5.963
B4galnt1,8.551
B4galnt2,14.374
B4galnt4,8.337
B4galt1,2.751
B4galt2,12.507
B4galt3,2.154
B4galt4,5.0
B4galt5,2.199
B4galt6,3.049
B4galt7,2.586
B4gat1,6.297
B630019K06Rik,2.506
B9d1,19.731
B9d2,4.251
BC003965,1.743
BC004004,21.729
BC005537,3.225
BC005624,14.157
BC024978,3.493
BC025920,2.619
BC028528,15.59
BC029722,11.804
BC031181,20.717
BC034090,2.502
BC048679,7.241
BC049715,2.43
BC049762,3.234
BC051019,3.005
BC055324,2.565
Baalc,4.254
Baat,1.761
Babam1,17.99
Babam2,18.359
Bace1,4.066
Bace2,29.798
Bach1,0.633
Bach2,0.94
Bad,10.718
Bag1,41.489
Bag2,2.817
Bag3,2.108
